asset,model,feature,n_features,h,rmse_level,r2_level,er_rmse_level,er_r2_level,F
V,LSTM,price_plus_sentiment,5,5,5.979212760925293,0.9728238582611084,-0.6174526214599609,-0.005902588367462158,F5
V,LSTM,price_plus_sentiment,5,10,8.811731338500977,0.9397379159927368,0.8865656852722168,0.011516153812408447,F5
V,LSTM,price_plus_sentiment,5,15,10.093400001525879,0.9197022914886475,0.2298412322998047,0.0036153197288513184,F5
V,xLSTM,price_only,1,1,3.170283079147339,0.9925125241279602,-0.10215353965759277,-0.00047475099563598633,F1
V,xLSTM,price_only,1,3,4.258485794067383,0.9863454699516296,0.021705150604248047,0.00013953447341918945,F1
V,xLSTM,price_only,1,5,5.170642852783203,0.9796769618988037,-0.053827762603759766,-0.0004209280014038086,F1
V,xLSTM,price_only,1,10,6.713783264160156,0.9650170803070068,-0.004182338714599609,-4.357099533081055e-05,F1
V,xLSTM,price_only,1,15,7.851080417633057,0.9514166712760925,0.20786333084106445,0.002606630325317383,F1
V,xLSTM,price_plus_sentiment,5,1,5.491800308227539,0.9775316715240479,-1.8793113231658936,-0.012746334075927734,F5
V,xLSTM,price_plus_sentiment,5,3,5.203707695007324,0.9796111583709717,-0.5192251205444336,-0.003865838050842285,F5
V,xLSTM,price_plus_sentiment,5,5,6.596665382385254,0.9669212698936462,-0.6174526214599609,-0.005902588367462158,F5
V,xLSTM,price_plus_sentiment,5,10,7.92516565322876,0.9512540698051453,0.8865656852722168,0.011516153812408447,F5
V,xLSTM,price_plus_sentiment,5,15,9.863558769226074,0.9233176112174988,0.2298412322998047,0.0036153197288513184,F5
